cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
1,3,1,1,2,1,1,1,2,1,1,1.39754912431818,1.03419992348063,1,1,15,10,5,170479.554545617,170480.557535787,170481.955084911,170483.061462723,170484.564953933,170486.568032067,NaN,170488.070931205,NaN,170490.074087073,170491.108286997,170491.212311423,170492.215174178,170492.216992769,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
3,10,1,1,2,2,2,2,1,1,2,1.28210085746832,1.14014843892073,0,1,-5,-10,5,170492.429813854,170493.432880298,170494.714981155,170495.82070494,170497.322487733,170499.325334706,NaN,170500.828178904,NaN,170502.830842937,170503.970991376,170504.074416132,170505.07613887,170505.076502997,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
10,6,0,2,1,2,1,1,2,2,2,1.5899264702166,1.12976437801262,0,1,-5,-10,5,170505.290088574,170506.293190963,170507.883117433,170508.988628762,170510.491885014,170512.495188462,NaN,170513.998250961,NaN,170516.001319451,170517.131083829,170517.234461534,170518.237441768,170518.237847101,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
9,10,1,1,2,2,2,1,2,2,2,2.42325780662941,1.40185874485178,0,1,-5,-10,5,170518.45026256,170519.453065114,170521.876322921,170522.982066286,170524.485052803,170526.488189091,NaN,170527.991451773,NaN,170529.995066453,170531.396925198,170531.500885625,170532.503930735,170532.505207811,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-1.77777777777778,2.76543209876543
7,9,1,1,2,1,1,1,2,1,1,1.31241198183852,2.9043548880727,1,1,15,10,5,170532.720906555,170533.724087555,170535.036499537,170536.14220608,170537.645404177,170539.648764904,NaN,170541.151963,NaN,170543.155841571,170546.060196459,170546.164205105,170547.166373212,170547.166590929,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,1.33333333333333,0.888888888888889
8,10,1,1,2,1,1,2,1,2,1,2.71539291719091,2.51574383547995,1,1,15,10,5,170555.012772515,170556.015802137,170558.731195054,170559.836459735,170561.339527786,170563.342506559,NaN,170564.845471158,NaN,170566.848809674,170569.36455351,170569.468289791,170570.471554371,170570.471901549,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,1.55555555555556,1.7283950617284
5,4,0,2,1,1,2,1,2,1,1,2.1410388853692,0.896868942450965,1,1,15,10,5,170570.683980643,170571.686978704,170573.828017589,170574.933927822,170576.437750721,170578.440676307,NaN,170579.943758093,NaN,170581.947512755,170582.844381698,170582.9477746,170583.950691126,170583.953473516,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,1.11111111111111,0.246913580246914
10,2,0,2,1,1,2,1,2,1,1,1.2339132973575,0.577149864169769,1,1,15,10,5,170584.167589503,170585.170511874,170586.404425171,170587.510088171,170589.013078779,170591.01624283,NaN,170592.519225548,NaN,170594.522877343,170595.100027207,170595.203459269,170596.206774699,170596.207028653,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
3,9,1,1,2,2,2,2,1,1,2,2.08470843065879,1.16946128135896,0,1,-5,-10,5,170596.421925498,170597.423461788,170599.508170219,170600.613650278,170602.116814475,170604.120171987,NaN,170605.623409244,NaN,170607.627138189,170608.796599471,170608.900056665,170609.902909191,170609.90306846,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
6,8,1,2,1,1,2,1,2,2,2,1.13984860366327,2.79100342240417,0,1,-5,-10,5,170610.117741159,170611.12070269,170612.260551294,170613.366713727,170614.869747586,170616.872988203,NaN,170618.37620062,NaN,170620.379810332,170623.170813755,170623.274403624,170624.277666159,170624.277826305,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-1.11111111111111,0.246913580246914
