cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
8,9,1,2,1,1,2,2,1,2,1,2.02300530000002,1.0424352,0,0,-15,-10,-5,778.9392001,779.9424252,781.9654305,783.0712082,784.574397,786.5777906,NaN,788.0806681,NaN,790.0841281,791.1265633,791.2293853,792.2328452,792.2332273,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-1.55555555555556,1.7283950617284
10,7,0,1,2,1,1,2,1,1,2,3.87535079999998,1.62260370000001,0,1,-5,-10,5,792.4470282,793.4502932,797.325644,798.4318155,799.9348404,801.9382466,NaN,803.4424694,NaN,805.4468735,807.0694772,807.1744883,808.1766644,808.1768624,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
8,10,1,2,1,1,2,1,2,2,2,2.34837760000005,1.89681899999994,0,1,-5,-10,5,808.3899598,809.3932201,811.7415977,812.8478356,814.3511962,816.3544925,NaN,817.8577225,NaN,819.861884,821.758703,821.8633705,822.8664492,822.8668818,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-1.55555555555556,1.7283950617284
4,6,1,1,2,2,2,2,1,2,1,1.12272839999991,1.64942670000005,0,0,-15,-10,-5,823.0804556,824.0833866,825.206115,826.3122991,827.8154263,829.8189294,NaN,831.3217237,NaN,833.3239887,834.9734154,835.0790704,836.082606,836.0845806,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
7,10,1,1,2,1,1,2,1,2,1,2.22275619999994,1.36754280000002,1,1,15,10,5,836.3009948,837.3027461,839.5255023,840.6319531,842.1353008,844.138895,NaN,845.6421816,NaN,847.6466713,849.0142141,849.1188861,850.1220928,850.1235804,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,1.33333333333333,0.888888888888889
3,4,1,2,1,2,1,2,1,2,1,2.94603299999994,1.1860064,1,1,15,10,5,859.8003914,860.8036584,863.7496914,864.8556136,866.3585819,868.3608014,NaN,869.8633648,NaN,871.8674624,873.0534688,873.1581144,874.1612632,874.1616288,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
6,7,1,2,1,2,1,2,1,2,1,0.91721009999992,1.54348670000002,1,1,15,10,5,874.3819533,875.3853066,876.3025167,877.4092837,878.9124587,880.9154476,NaN,882.4187688,NaN,884.4219644,885.9654511,886.0703598,887.0737623,887.0750211,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,1.11111111111111,0.246913580246914
4,7,1,2,1,1,2,2,1,1,2,1.54167089999999,1.69587630000001,0,1,-5,-10,5,887.293806,888.2969459,889.8386168,890.9447383,892.4477656,894.451057,NaN,895.9543284,NaN,897.9586031,899.6544794,899.7600187,900.7633527,900.7648571,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
9,2,0,2,1,1,2,2,1,1,2,1.55925660000003,1.53009320000001,1,0,5,10,-5,900.9794417,901.9828027,903.5420593,904.6484424,906.1514516,908.1547426,NaN,909.6580368,NaN,911.6603679,913.1904611,913.2949651,914.2974391,914.2983928,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
2,8,1,2,1,2,1,2,1,2,1,1.99376510000002,2.0502712,1,1,15,10,5,914.5134217,915.516875,917.5106401,918.6169544,920.1188165,922.120672,NaN,923.6240282,NaN,925.6281477,927.6784189,927.7834027,928.7865171,928.7871913,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
6,9,1,1,2,1,1,2,1,2,1,2.28348990000006,1.23391650000008,1,1,15,10,5,934.0640617,935.0672546,937.3507445,938.4571828,939.9622822,941.9666546,NaN,943.4709729,NaN,945.4755878,946.7095043,946.8139655,947.8170806,947.8181212,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,1.11111111111111,0.246913580246914
2,9,1,2,1,2,1,1,2,1,1,2.4020127,1.5125908,1,1,15,10,5,948.0333509,949.0354812,951.4374939,952.5437819,954.046866,956.05006,NaN,957.5533834,NaN,959.5576805,961.0702713,961.1747896,962.1780165,962.1781794,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
2,6,1,2,1,2,1,1,2,1,1,1.37484870000003,1.37754580000001,1,1,15,10,5,962.3962797,963.3993697,964.7742184,965.8804662,967.3838006,969.3870111,NaN,970.8894791,NaN,972.8928994,974.2704452,974.3750566,975.3780536,975.3782168,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
6,8,1,1,2,2,2,1,2,1,1,1.42351529999996,1.10233500000004,0,0,-15,-10,-5,975.5960096,976.5991841,978.0226994,979.1290492,980.6323023,982.6354485,NaN,984.1388425,NaN,986.1432297,987.2455647,987.3503645,988.3534441,988.3536836,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-1.11111111111111,0.246913580246914
6,2,0,2,1,1,2,2,1,2,1,1.1122464,1.0241029,1,1,15,10,5,988.5698014,989.5730972,990.6853436,991.7917622,993.2949917,995.2980433,NaN,996.8013956,NaN,998.8062791,999.830382,999.934823,1000.9376725,1000.9378668,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,0.888888888888889,-0.197530864197531
4,9,1,1,2,1,1,2,1,2,1,2.19016410000006,1.75157409999997,1,1,15,10,5,1009.68494,1010.688151,1012.8783151,1013.9848749,1015.4880702,1017.4913459,NaN,1018.9945022,NaN,1020.997801,1022.7493751,1022.8538498,1023.8571921,1023.8573677,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
8,1,0,2,1,1,2,1,2,1,1,1.73087269999996,1.76066579999997,1,1,15,10,5,1024.0724483,1025.0755812,1026.8064539,1027.9128475,1029.4162797,1031.4180866,NaN,1032.9214624,NaN,1034.9259672,1036.686633,1036.7915929,1037.7945586,1037.7947426,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
3,6,1,2,1,2,1,1,2,2,2,1.44692979999991,2.44806649999987,1,0,5,10,-5,1038.0115631,1039.0148938,1040.4618236,1041.5680426,1043.0710834,1045.0744272,NaN,1046.5777645,NaN,1048.5812754,1051.0293419,1051.1342789,1052.1371921,1052.1373568,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
3,8,1,1,2,2,2,1,2,1,1,2.06478650000008,1.30484690000003,0,0,-15,-10,-5,1052.3540201,1053.3573453,1055.4221318,1056.5282763,1058.0315466,1060.0348504,NaN,1061.5367235,NaN,1063.5415996,1064.8464465,1064.9509549,1065.9538596,1065.9540417,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
