cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
5,1,0,1,2,1,1,1,2,2,2,1.53320823065587,0.808587033025105,0,1,-5,-10,5,86274.6249482897,86275.6415768525,86277.1747850831,86278.3081716735,86279.824675735,86281.8411202984,NaN,86283.3576479557,NaN,86285.3740871022,86286.1826741352,86286.2903736231,86287.3072293576,86287.3076308354,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-1.11111111111111,0.246913580246914
9,6,0,2,1,1,2,2,1,2,1,1.06582669443742,0.584509164458723,1,1,15,10,5,86287.5405309618,86288.5571027893,86289.6229294838,86290.7568782405,86292.2733811616,86294.2898364913,NaN,86295.806339358,NaN,86297.8228046662,86298.4073138307,86298.5224259655,86299.5393001773,86299.5397048455,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
8,2,0,1,2,1,1,1,2,2,2,1.13809629583557,0.693791306839557,0,1,-5,-10,5,86299.7559430654,86300.7725060416,86301.9106023374,86303.0389337333,86304.5554463478,86306.5717283356,NaN,86308.0883937647,NaN,86310.1048675172,86310.7986588241,86310.9045011588,86311.9213530783,86311.9217769027,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
9,3,0,2,1,1,2,2,1,2,1,1.49205669043295,0.673881222246564,1,1,15,10,5,86312.1379931566,86313.1545353879,86314.6465920783,86315.770956744,86317.2874487092,86319.3039096322,NaN,86320.8204086706,NaN,86322.8368786624,86323.5107598847,86323.619818738,86324.6366934656,86324.6371201411,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
3,5,1,2,1,1,2,2,1,1,2,1.89684394888172,0.58221528971626,0,1,-5,-10,5,86324.8533393003,86325.869889175,86327.7667331239,86328.9029007736,86330.419410931,86332.4358701433,NaN,86333.9523931303,NaN,86335.9688448756,86336.5510601653,86336.6684725015,86337.6851529528,86337.6853844555,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
1,8,1,1,2,1,1,1,2,1,1,1.43158226655214,0.647845155152027,1,1,15,10,5,86340.3183830017,86341.3349222057,86342.7665044723,86343.9013530103,86345.4178580358,86347.4343243213,NaN,86348.9508321979,NaN,86350.9672847985,86351.6151299537,86351.7336017282,86352.7504328896,86352.7508193113,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
7,1,0,1,2,2,2,2,1,2,1,0.951111882794066,0.809942461390165,1,1,15,10,5,86352.9670362441,86353.9836419988,86354.9347538816,86356.0667502068,86357.5832638398,86359.5997236223,NaN,86361.1162391423,NaN,86363.1326927745,86363.9426352359,86364.0489736478,86365.0658407864,86365.06623086,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
8,10,1,2,1,2,1,1,2,1,1,1.38768353969499,0.813057144230697,1,1,15,10,5,86365.2824685509,86366.2990197968,86367.6867033365,86368.8154229866,86370.3319308632,86372.3484040999,NaN,86373.8649150038,NaN,86375.8813527791,86376.6944099234,86376.7976313172,86377.8144904186,86377.8148987931,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,1.55555555555556,1.7283950617284
8,1,0,2,1,1,2,2,1,2,1,1.00732460487052,0.895601814700058,1,1,15,10,5,86378.0311410456,86379.0477083116,86380.0550329164,86381.1807879016,86382.6973207584,86384.7137842473,NaN,86386.2302946354,NaN,86388.2467346915,86389.1423365062,86389.2463598914,86390.263213861,86390.2636185292,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
2,9,1,2,1,1,2,2,1,1,2,1.42212611863215,1.11810695294116,0,1,-5,-10,5,86390.4798462415,86391.4964060404,86392.9185321591,86394.0461471485,86395.5626620982,86397.5791054668,NaN,86399.0954746075,NaN,86401.1120782577,86402.2301852107,86402.3449805974,86403.3618533837,86403.3622617582,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
5,7,1,2,1,1,2,2,1,1,2,1.65811275719898,0.856322999461554,0,1,-5,-10,5,86405.8282442455,86406.8448233637,86408.5029361209,86409.6277519808,86411.1443624397,86413.1605944259,NaN,86414.6773285645,NaN,86416.6937988958,86417.5501218953,86417.6600907935,86418.6769177328,86418.677295262,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-0.888888888888889,-0.197530864197531
3,8,1,1,2,1,1,1,2,1,1,1.06407577550272,0.582527476188261,1,1,15,10,5,86418.8934868207,86419.9100432528,86420.9741190283,86422.1097285574,86423.6264060152,86425.6426713583,NaN,86427.1593248675,NaN,86429.1758327779,86429.7583602541,86429.8754569826,86430.8921542549,86430.8923441327,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
4,3,0,2,1,1,2,2,1,2,1,1.40076965819753,1.11346453147416,1,1,15,10,5,86431.1089621494,86432.1255291302,86433.5262987884,86434.6585842068,86436.1749256383,86438.1915607585,NaN,86439.7080748529,NaN,86441.7245200953,86442.8379846267,86442.9403792253,86443.9576265266,86443.9580675115,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,1.33333333333333,0.888888888888889
10,9,0,1,2,1,1,1,2,2,2,1.47992224174959,0.798282544084941,0,1,-5,-10,5,86444.174285476,86445.1908188148,86446.6707410566,86447.7905609687,86449.3070731218,86451.3234471431,NaN,86452.8400375905,NaN,86454.856489105,86455.6547716491,86455.7727661632,86456.7896162501,86456.7899697764,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
1,6,1,1,2,2,2,2,1,1,2,1.81488607231586,1.3111014340102,0,1,-5,-10,5,86457.0228175528,86458.0394879168,86459.8543739891,86460.9891891702,86462.5057032647,86464.5219834875,NaN,86466.0386412732,NaN,86468.0551163969,86469.3662178309,86469.4713633768,86470.4882033764,86470.4886080446,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
3,1,0,2,1,1,2,1,2,1,1,1.0704255629098,0.564626042585587,1,1,15,10,5,86472.8712676966,86473.8878552048,86474.9582807677,86476.087620623,86477.6041116242,86479.6205846978,NaN,86481.1371034082,NaN,86483.1535702095,86483.7181962521,86483.8365363096,86484.8533680412,86484.8537727094,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,1.55555555555556,1.7283950617284
5,6,1,2,1,1,2,1,2,2,2,1.0315194845025,0.743329456177889,0,1,-5,-10,5,86485.0700131426,86486.0865870746,86487.1181065591,86488.253016394,86489.7695332851,86491.7859810933,NaN,86493.3025064155,NaN,86495.3189461865,86496.0622756427,86496.1685875401,86497.1854354681,86497.1858647095,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-0.888888888888889,-0.197530864197531
7,5,0,1,2,1,1,1,2,2,2,1.37116041018453,0.629471823660424,0,1,-5,-10,5,86497.402070469,86498.4186249053,86499.7897853155,86500.918232232,86502.4348877369,86504.4512859374,NaN,86505.9678394979,NaN,86507.9843135899,86508.6137854136,86508.7172750882,86509.7339469865,86509.7341511194,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
7,2,0,2,1,1,2,1,2,1,1,1.42245393132907,0.5434785073885,1,1,15,10,5,86509.9507708466,86510.9673355467,86512.389789478,86513.5169149476,86515.0335706832,86517.0500284701,NaN,86518.566531106,NaN,86520.5829986407,86521.1264771481,86521.2326593242,86522.2494899154,86522.2498951538,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
4,6,1,2,1,2,1,1,2,1,1,1.17125267176016,0.445289106050041,1,1,15,10,5,86522.4661248075,86523.4826485616,86524.6539012333,86525.7824191401,86527.2989690486,86529.3154157165,NaN,86530.8319223983,NaN,86532.8483888469,86533.293677953,86533.3981344078,86534.414897715,86534.415284992,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
6,1,0,1,2,1,1,1,2,2,2,1.32315274172288,0.775677052632091,0,1,-5,-10,5,86536.6979952549,86537.7145639463,86539.0377166881,86540.1642892909,86541.680801851,86543.6972693857,NaN,86545.2137692794,NaN,86547.2302345333,86548.0059115859,86548.1132019527,86549.1300379609,86549.1304503269,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-0.888888888888889,-0.197530864197531
9,7,0,2,1,2,1,1,2,2,2,1.23395031952532,0.681386527270661,0,1,-5,-10,5,86549.3632362362,86550.3798929697,86551.6138432892,86552.7463226856,86554.2628284577,86556.2792985583,NaN,86557.7958063261,NaN,86559.812247292,86560.4936338192,86560.6118817888,86561.6287412841,86561.629099657,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
9,8,0,2,1,1,2,1,2,1,1,1.12769977339485,0.691546645932249,1,1,15,10,5,86561.8619762288,86562.8786115253,86564.0063112987,86565.1283792929,86566.6448848343,86568.6613308776,NaN,86570.1778436009,NaN,86572.1941429255,86572.8856895715,86572.9939541311,86574.0107842065,86574.0111443445,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
2,5,1,2,1,1,2,2,1,1,2,1.16977880417835,0.563890941353748,0,1,-5,-10,5,86574.227424176,86575.2439786124,86576.4137574166,86577.5437557483,86579.0602684716,86581.0767055004,NaN,86582.5932315691,NaN,86584.6096930079,86585.1735839492,86585.2755928051,86586.292818371,86586.2931815908,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
3,9,1,2,1,2,1,1,2,1,1,1.13492676468741,0.786309924471425,1,1,15,10,5,86586.5261547032,86587.5427171768,86588.6776439415,86589.809149145,86591.3256457939,86593.3421032412,NaN,86594.858406184,NaN,86596.8750846396,86597.6613945641,86597.7746917408,86598.7913878727,86598.7916045501,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
1,3,1,1,2,1,1,1,2,1,1,1.31672022040584,0.600647406550706,1,1,15,10,5,86601.4246005848,86602.441173322,86603.7578935424,86604.8909160034,86606.4073374941,86608.4238867442,NaN,86609.9403928558,NaN,86611.9568449406,86612.5574923472,86612.6731607156,86613.6899930174,86613.6903936942,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
10,8,0,2,1,1,2,1,2,1,1,1.08216525435273,0.743759498451254,1,1,15,10,5,86613.9232657043,86614.9398714046,86616.022036659,86617.1562978873,86618.6728220146,86620.689219645,NaN,86622.2057804417,NaN,86624.2222509494,86624.9660104478,86625.0718832884,86626.0886589638,86626.0888402885,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
10,3,0,1,2,1,1,2,1,1,2,1.76360527198995,0.66211906215176,0,1,-5,-10,5,86626.3053576643,86627.3217630468,86629.0853683187,86630.2216221236,86631.7381199672,86633.7545709116,NaN,86635.2709122887,NaN,86637.2875453588,86637.9496644209,86638.0538597225,86639.0704115929,86639.0707674,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
1,7,1,1,2,1,1,1,2,1,1,1.84501580747019,0.452780780600733,1,1,15,10,5,86639.304009988,86640.3205468025,86642.1655626099,86643.2869146592,86644.8034296089,86646.8197056096,NaN,86648.3363907651,NaN,86650.3528633228,86650.8056441034,86650.9191927399,86651.9360183081,86651.9363510219,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
2,3,1,2,1,1,2,2,1,1,2,1.42758690424671,0.636415369372116,0,1,-5,-10,5,86652.1693128391,86653.1859031439,86654.6134900481,86655.7356373007,86657.2521379953,86659.2685165782,NaN,86660.7851133522,NaN,86662.8015460501,86663.4379614194,86663.5512052821,86664.5680421456,86664.5684465287,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
8,4,0,1,2,1,1,1,2,2,2,0.937570117224823,0.788842538197059,0,1,-5,-10,5,86667.8677015889,86668.8842743261,86669.8218444433,86670.9507187274,86672.4672364738,86674.4836945457,NaN,86676.0001803607,NaN,86678.0166518868,86678.805494425,86678.9162630338,86679.9331200307,86679.9335812579,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
4,9,1,1,2,2,2,1,2,2,2,1.28639855734946,0.531827306273044,0,1,-5,-10,5,86680.1664277852,86681.182977945,86682.4693765023,86683.5993458624,86685.1159140174,86687.132370148,NaN,86688.6488679373,NaN,86690.6653362729,86691.1971635792,86691.3149836109,86692.3316754663,86692.331876178,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
