cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
9,2,0,2,1,2,1,2,1,1,2,2.53418899999997,1.89949279999928,0,1,-5,-10,5,16200.2241809,16201.227307,16203.761496,16204.8679175,16206.3710136,16208.3742286,NaN,16209.8760075,NaN,16211.8789077,16213.7784005,16213.8837568,16214.8871528,16214.8879924,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
5,1,0,1,2,2,2,2,1,1,2,1.6165476999995,1.15285890000087,1,0,5,10,-5,16215.1104058,16216.1135223,16217.73007,16218.8356172,16220.338669,16222.3419348,NaN,16223.8448202,NaN,16225.8493343,16227.0021932,16227.1069182,16228.1101987,16228.111023,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,1.11111111111111,0.246913580246914
6,9,1,2,1,1,2,2,1,1,2,2.11129970000002,4.24775500000032,0,1,-5,-10,5,16228.3263235,16229.329553,16231.4408527,16232.5472829,16234.0510573,16236.0544043,NaN,16237.557693,NaN,16239.5621546,16243.8099096,16243.9147603,16244.9178256,16244.9186394,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-1.11111111111111,0.246913580246914
6,2,0,2,1,2,1,1,2,2,2,1.43539970000165,1.67070079999939,0,1,-5,-10,5,16245.1383477,16246.1414199,16247.5768196,16248.6843988,16250.1876267,16252.1908688,NaN,16253.6940071,NaN,16255.6987441,16257.3694449,16257.4752753,16258.4784482,16258.4837257,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-0.888888888888889,-0.197530864197531
7,3,0,1,2,2,2,2,1,2,1,1.81595510000079,0.983910400000241,1,1,15,10,5,16258.7027118,16259.7059032,16261.5218583,16262.6280733,16264.1310834,16266.1343677,NaN,16267.6375535,NaN,16269.642146,16270.6260564,16270.7308448,16271.7338602,16271.7368301,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
6,10,1,2,1,2,1,1,2,1,1,1.94745679999869,1.49157419999938,1,1,15,10,5,16278.5058514,16279.5091745,16281.4566313,16282.5646372,16284.0687277,16286.0731679,NaN,16287.5776067,NaN,16289.5819833,16291.0735575,16291.179149,16292.1814512,16292.1821682,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,1.11111111111111,0.246913580246914
2,10,1,1,2,2,2,2,1,1,2,1.53175119999833,1.02503030000116,0,1,-5,-10,5,16292.3945914,16293.3978036,16294.9295548,16296.035759,16297.5391841,16299.5411039,NaN,16301.0443981,NaN,16303.0476972,16304.0727275,16304.1777845,16305.1810092,16305.1815107,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
1,4,1,1,2,2,2,2,1,1,2,1.39763850000054,1.89774469999975,0,1,-5,-10,5,16305.3998352,16306.4031729,16307.8008114,16308.9068632,16310.4105862,16312.4137596,NaN,16313.917068,NaN,16315.9203187,16317.8180634,16317.922853,16318.9263261,16318.9266251,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
8,10,1,2,1,1,2,1,2,2,2,1.61614409999856,1.15148469999986,0,1,-5,-10,5,16319.141782,16320.1452074,16321.7613515,16322.8678532,16324.3716349,16326.3746056,NaN,16327.8779336,NaN,16329.8821952,16331.0336799,16331.1382285,16332.1415243,16332.1429059,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-1.55555555555556,1.7283950617284
8,9,1,2,1,1,2,2,1,1,2,1.73796760000005,1.46319819999917,0,1,-5,-10,5,16332.3578873,16333.35975,16335.0977176,16336.203721,16337.7066174,16339.7096748,NaN,16341.2128783,NaN,16343.2176694,16344.6808676,16344.7861408,16345.7880805,16345.7881593,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-1.55555555555556,1.7283950617284
