cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
6,1,0,1,2,NaN,-1,NaN,NaN,NaN,NaN,7.10092998668551,NaN,NaN,NaN,-10,NaN,NaN,449771.005870755,449772.009067246,449779.109997233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,NaN,0.987654320987654,NaN,NaN
8,2,0,1,2,2,2,2,1,2,1,0.947579062602017,1.17509133141721,1,1,15,10,5,449784.227030954,449785.230050642,449786.177629704,449787.284087944,449788.787040563,449790.790031027,NaN,449792.293749892,NaN,449794.297487315,449795.472578646,449795.576261508,449796.579148228,449796.58053314,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.098765432098765,1,0.691358024691358,0.444444444444444,-0.493827160493827
9,2,0,2,1,1,2,1,2,1,1,2.25049234676408,1.29578064905945,1,1,15,10,5,449796.795383645,449797.798438985,449800.048931332,449801.155246959,449802.658389533,449804.661585148,NaN,449806.164465,NaN,449808.1682936,449809.464074249,449809.568059869,449810.570904799,449810.573711153,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
2,8,1,1,2,1,1,1,2,1,1,1.89064539724495,1.39392006199341,1,1,15,10,5,449810.787572142,449811.790747593,449813.68139299,449814.787475412,449816.290873401,449818.293794312,NaN,449819.796221197,NaN,449821.799948683,449823.193868745,449823.29737568,449824.30046492,449824.301433687,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
4,9,1,1,2,1,1,2,1,2,1,1.93213052372448,1.23236516094767,1,1,15,10,5,449824.522266873,449825.525284515,449827.457415039,449828.563966209,449830.067202006,449832.069973585,NaN,449833.572773364,NaN,449835.576675608,449836.809040769,449836.913106754,449837.916043739,449837.916342697,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
10,1,0,2,1,2,1,1,2,2,2,2.01887531316606,1.37405990925618,0,1,-5,-10,5,449843.123229736,449844.126121132,449846.144996445,449847.25121125,449848.75495291,449850.758860707,NaN,449852.262481965,NaN,449854.265968648,449855.640028557,449855.743863383,449856.746724385,449856.747454686,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
1,10,1,1,2,1,1,1,2,1,1,2.0370776039199,1.00150735984789,1,1,15,10,5,449856.960218617,449857.963177519,449860.000255123,449861.106902148,449862.610092648,449864.613103276,NaN,449866.115950398,NaN,449868.119757957,449869.121265317,449869.225202425,449870.22804794,449870.229329692,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
2,10,1,1,2,1,1,2,1,2,1,2.29736282164231,1.00325552315917,1,1,15,10,5,449870.443945238,449871.446874332,449873.744237154,449874.849736563,449876.352719867,449878.355765564,NaN,449879.858719936,NaN,449881.862275295,449882.865530818,449882.969263945,449883.972389423,449883.972875998,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
4,2,0,1,2,1,1,1,2,2,2,1.24905658507487,1.13031064532697,0,1,-5,-10,5,449884.188214538,449885.191144802,449886.440201387,449887.546200521,449889.049268866,449891.052102691,NaN,449892.555318032,NaN,449894.559014249,449895.689324894,449895.792776304,449896.795718841,449896.795999389,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-1.33333333333333,0.888888888888889
7,3,0,2,1,2,1,1,2,2,2,0.851646333292592,1.28190025530057,0,1,-5,-10,5,449897.010757254,449898.013880978,449898.865527311,449899.971470921,449901.474548325,449903.477437675,NaN,449904.980366623,NaN,449906.983473398,449908.265373653,449908.36909772,449909.372308239,449909.373186704,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
