cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
1,2,1,2,1,1,2,2,1,1,2,0.950363236101111,1.00091061080457,0,1,-5,-10,5,177781.859112201,177782.862043047,177783.812406283,177784.91848426,177786.421514612,177788.424590408,NaN,177789.927645016,NaN,177791.930596319,177792.931506929,177793.034398645,177794.037508632,177794.039639917,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
1,3,1,2,1,1,2,2,1,1,2,2.01226869798847,2.94362863211427,0,1,-5,-10,5,177794.253316964,177795.255597875,177797.267866573,177798.373511454,177799.87671861,177801.879917437,NaN,177803.383025233,NaN,177805.386819639,177808.330448271,177808.434639565,177809.437487708,177809.437829041,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
3,9,1,1,2,1,1,1,2,1,1,0.760771494271467,1.13837806656375,1,1,15,10,5,177809.655359234,177810.657646281,177811.418417776,177812.524188319,177814.027276242,177816.030547836,NaN,177817.53399112,NaN,177819.537044121,177820.675422188,177820.779002706,177821.781880072,177821.783556052,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
9,4,0,1,2,2,2,2,1,2,1,1.21690948159085,0.880830970359966,1,1,15,10,5,177821.999502905,177823.002512947,177824.219422428,177825.325806377,177826.828930246,177828.832795958,NaN,177830.335857288,NaN,177832.3388647,177833.21969567,177833.323581284,177834.326541353,177834.328610684,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
2,6,1,1,2,2,2,2,1,1,2,1.07806705031544,1.28077176312217,0,1,-5,-10,5,177834.545365865,177835.548492802,177836.626559852,177837.733066833,177839.236274865,177841.239313839,NaN,177842.742511351,NaN,177844.745645886,177846.026417649,177846.130012195,177847.133050584,177847.134014674,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
5,2,0,2,1,2,1,2,1,1,2,1.46239361472544,3.00035273015965,0,1,-5,-10,5,177849.3699146,177850.373005007,177851.835398622,177852.941283722,177854.444436229,177856.447745522,NaN,177857.951460294,NaN,177859.955161769,177862.955514499,177863.059245228,177864.062079927,177864.06405019,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-1.11111111111111,0.246913580246914
7,6,0,2,1,1,2,2,1,2,1,2.11474105308298,1.22323553811293,1,1,15,10,5,177864.278312003,177865.281259215,177867.396000268,177868.501967779,177870.005087848,177872.008212155,NaN,177873.511330763,NaN,177875.515078412,177876.73831395,177876.84318148,177877.846305495,177877.846540161,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
4,8,1,1,2,1,1,2,1,2,1,1.55644311211654,1.4793407364632,1,1,15,10,5,177878.060711089,177879.063416912,177880.619860024,177881.726530073,177883.229391805,177885.232088569,NaN,177886.735151068,NaN,177888.739168451,177890.218509187,177890.322593815,177891.32542267,177891.325609994,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
4,2,0,2,1,1,2,2,1,2,1,0.803749343554955,0.969089205085766,1,1,15,10,5,177891.539589506,177892.542548991,177893.346298335,177894.452067417,177895.955252363,177897.958308871,NaN,177899.461411698,NaN,177901.465143274,177902.434232479,177902.537971974,177903.540883824,177903.541043094,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,1.33333333333333,0.888888888888889
6,5,0,2,1,1,2,2,1,2,1,1.18063379797968,1.0989652176504,1,1,15,10,5,177903.75506498,177904.757888575,177905.938522373,177907.044281811,177908.547398666,177910.550498717,NaN,177912.053561216,NaN,177914.056608664,177915.155573882,177915.259184501,177916.26239268,177916.262551072,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,0.888888888888889,-0.197530864197531
2,1,0,1,2,1,1,2,1,1,2,1.12556756098638,2.16823067094083,0,1,-5,-10,5,177919.969751999,177920.972918388,177922.098485949,177923.205164765,177924.708332177,177926.711941889,NaN,177928.215568406,NaN,177930.219373625,177932.387604296,177932.491371261,177933.494467806,177933.494627659,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-1.77777777777778,2.76543209876543
1,7,1,1,2,1,1,1,2,1,1,1.25124061957467,0.839654178300407,1,1,15,10,5,177933.710105179,177934.712454473,177935.963695093,177937.070272502,177938.573356042,177940.576420148,NaN,177942.079460729,NaN,177944.08255026,177944.922204438,177945.026001504,177946.029028788,177946.029214651,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
3,8,1,2,1,1,2,2,1,1,2,2.09980773722054,2.91375674007577,0,1,-5,-10,5,177946.243659697,177947.246708022,177949.346515759,177950.452260585,177951.95538007,177953.958447683,NaN,177955.461451442,NaN,177957.465417392,177960.379174132,177960.483653279,177961.486650755,177961.486828728,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
4,6,1,2,1,1,2,1,2,2,2,0.981684331898578,1.36237312891171,0,1,-5,-10,5,177961.705661714,177962.708730204,177963.690414535,177964.796209919,177966.300173677,177968.30325707,NaN,177969.804737982,NaN,177971.807845047,177973.170218175,177973.274197597,177974.277314598,177974.277487895,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
2,3,1,2,1,1,2,2,1,1,2,1.19463312407606,3.1942742569081,0,1,-5,-10,5,177974.493235734,177975.49593542,177976.690568544,177977.796269827,177979.299188837,177981.302207647,NaN,177982.805229232,NaN,177984.80820216,177988.002476417,177988.105983584,177989.108688238,177989.108843708,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
3,1,0,2,1,1,2,2,1,2,1,1.50441643319209,0.990874604263809,1,1,15,10,5,177995.19093311,177996.194046312,177997.698462745,177998.804511206,178000.307871202,178002.31176643,NaN,178003.815502828,NaN,178005.819310385,178006.810184989,178006.913531133,178007.916420189,178007.916586472,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,1.55555555555556,1.7283950617284
6,7,1,2,1,1,2,2,1,1,2,1.31260427384404,0.714695931674214,0,1,-5,-10,5,178008.134763094,178009.137717026,178010.4503213,178011.556068172,178013.059088296,178015.062150649,NaN,178016.565256983,NaN,178018.568858513,178019.283554445,178019.387214159,178020.390282941,178020.390443671,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-1.11111111111111,0.246913580246914
9,3,0,1,2,1,1,1,2,2,2,0.791820225102128,0.915250948397443,0,1,-5,-10,5,178020.606654122,178021.610405862,178022.402226087,178023.508103881,178025.011254051,178027.014295655,NaN,178028.517506902,NaN,178030.52048509,178031.435736039,178031.539336429,178032.542330106,178032.542491128,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
5,4,0,1,2,1,1,2,1,1,2,1.3355971967685,1.03126147942385,0,1,-5,-10,5,178032.762697921,178033.764930613,178035.100527809,178036.206572179,178037.709653381,178039.712775057,NaN,178041.215860935,NaN,178043.218914813,178044.250176292,178044.353543769,178045.356675674,178045.356834359,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-1.11111111111111,0.246913580246914
7,5,0,1,2,1,1,2,1,1,2,1.91552302113269,2.47642859377083,0,1,-5,-10,5,178045.579667487,178046.582667885,178048.498190906,178049.604143805,178051.107267674,178053.108642357,NaN,178054.611558445,NaN,178056.615245893,178059.091674486,178059.195406676,178060.198360024,178060.19856459,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
5,7,1,2,1,1,2,1,2,2,2,1.25902581593255,3.77710637927521,0,1,-5,-10,5,178063.70809751,178064.711202529,178065.970228345,178067.07589456,178068.579017844,178070.582783903,NaN,178072.086503935,NaN,178074.090345977,178077.867452356,178077.971161458,178078.973887738,178078.974034149,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-0.888888888888889,-0.197530864197531
7,8,1,2,1,1,2,1,2,2,2,1.28822293248959,3.17274164283299,0,1,-5,-10,5,178079.192208433,178080.194997836,178081.483220768,178082.58777882,178084.090844241,178086.093784731,NaN,178087.595190537,NaN,178089.598836195,178092.771577838,178092.87526473,178093.878079558,178093.878239996,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-1.33333333333333,0.888888888888889
8,7,0,1,2,1,1,2,1,1,2,2.04769660180318,1.90428533562226,0,1,-5,-10,5,178094.09678133,178095.09980423,178097.147500832,178098.253546663,178099.756592211,178101.759722071,NaN,178103.262810286,NaN,178105.26580747,178107.170092806,178107.273647023,178108.276596864,178108.27675701,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.0987654320987654,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
2,9,1,1,2,1,1,2,1,2,1,1.58570744321332,2.14106957026524,1,1,15,10,5,178108.493357305,178109.496315036,178111.082022479,178112.187790392,178113.690793567,178115.693925472,NaN,178117.196847405,NaN,178119.199234105,178121.340303675,178121.443797691,178122.446841633,178122.447319148,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
6,3,0,1,2,1,1,1,2,2,2,1.02060593024362,2.03564123687102,0,1,-5,-10,5,178122.666347349,178123.669428405,178124.690034335,178125.795533682,178127.298647322,178129.30174562,NaN,178130.804694146,NaN,178132.807859951,178134.843501188,178134.947108007,178135.950104314,178135.950264168,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-0.888888888888889,-0.197530864197531
