cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
8,2,0,1,2,2,2,2,1,2,1,2.30509529832261,1.28085819999978,1,1,15,10,5,2956.11257114239,2957.11333150168,2959.4184268,2960.5167772,2962.0199704,2964.0231915,NaN,2965.5262989,NaN,2967.5293707,2968.8102289,2968.9152402,2969.9184154,2969.9193695,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.098765432098765,1,0.691358024691358,0.444444444444444,-0.493827160493827
7,9,1,2,1,1,2,1,2,2,2,2.88590030000023,1.6258514000001,0,1,-5,-10,5,2970.1359688,2971.1388623,2974.0247626,2975.1319806,2976.6347467,2978.6369756,NaN,2980.1400768,NaN,2982.1442833,2983.7701347,2983.8749923,2984.8783125,2984.8793507,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-1.33333333333333,0.888888888888889
2,5,1,2,1,2,1,1,2,1,1,1.88677839999991,1.28800310000042,1,1,15,10,5,2985.0945765,2986.0979347,2987.9847131,2989.0922449,2990.5956048,2992.5987719,NaN,2994.1019896,NaN,2996.1059192,2997.3939223,2997.4990003,2998.502036,2998.5028781,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
3,5,1,2,1,2,1,1,2,1,1,1.72340729999996,1.51922980000018,1,1,15,10,5,2998.7166853,2999.7185145,3001.4419218,3002.5486238,3004.0517642,3006.055637,NaN,3007.5587509,NaN,3009.5629206,3011.0821504,3011.1875784,3012.190774,3012.1914609,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.098765432098765,1,0.691358024691358,0.444444444444444,-0.493827160493827
6,1,0,2,1,1,2,2,1,2,1,2.2228898000003,1.30291859999988,1,1,15,10,5,3012.4071492,3013.4103317,3015.6332215,3016.741136,3018.2442843,3020.2475184,NaN,3021.7511241,NaN,3023.7552523,3025.0581709,3025.1641336,3026.1672402,3026.171669,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,0.888888888888889,-0.197530864197531
7,2,0,1,2,2,2,2,1,2,1,2.21836269999994,0.971413499999926,1,1,15,10,5,3035.3886369,3036.391799,3038.6101617,3039.7166698,3041.2198296,3043.2223433,NaN,3044.7255324,NaN,3046.7271761,3047.6985896,3047.8037325,3048.8069564,3048.8091798,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
10,6,0,1,2,2,2,1,2,1,1,2.29361880000033,1.63247530000035,1,1,15,10,5,3049.0253267,3050.0287,3052.3223188,3053.4282709,3054.9314592,3056.9347558,NaN,3058.4378625,NaN,3060.4420422,3062.0745175,3062.179847,3063.1834204,3063.1840369,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
8,5,0,2,1,2,1,2,1,1,2,2.01574870000013,1.21114430000034,0,1,-5,-10,5,3063.3993434,3064.4025217,3066.4182704,3067.5245583,3069.0262153,3071.0278863,NaN,3072.5312628,NaN,3074.5354276,3075.7465719,3075.851233,3076.8543821,3076.8573114,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.098765432098765,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
5,6,1,1,2,1,1,2,1,2,1,2.51875199999995,1.34229199999982,1,1,15,10,5,3077.0735921,3078.0754849,3080.5942369,3081.700804,3083.2039281,3085.2072143,NaN,3086.7103058,NaN,3088.7145303,3090.0568223,3090.1624408,3091.1648151,3091.165586,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,0.888888888888889,-0.197530864197531
9,5,0,1,2,2,2,1,2,1,1,2.04894960000001,1.56870739999977,1,1,15,10,5,3091.3808142,3092.383993,3094.4329426,3095.5399249,3097.0425751,3099.0455412,NaN,3100.5487381,NaN,3102.5534249,3104.1221323,3104.2272367,3105.22983,3105.2302525,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
2,7,1,2,1,2,1,1,2,1,1,1.55147379999971,1.31588190000002,1,1,15,10,5,3114.0869018,3115.0908714,3116.6423452,3117.7487072,3119.2503453,3121.2520542,NaN,3122.755176,NaN,3124.7583369,3126.0742188,3126.1796538,3127.1825722,3127.1841794,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
6,2,0,2,1,2,1,2,1,1,2,2.07169509999994,1.60063599999967,0,1,-5,-10,5,3127.3973846,3128.4014078,3130.4731029,3131.57955,3133.0827738,3135.0860406,NaN,3136.5893842,NaN,3138.5935957,3140.1942317,3140.2988122,3141.3019503,3141.3023101,NaN,NaN,1,-0.111111111111111,-0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-0.888888888888889,-0.197530864197531
9,6,0,2,1,1,2,2,1,2,1,2.35210959999995,1.41567239999995,1,1,15,10,5,3141.5188961,3142.522094,3144.8742036,3145.9807001,3147.4839004,3149.4870744,NaN,3150.990146,NaN,3152.9943655,3154.4100379,3154.5146325,3155.517699,3155.5179426,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
3,9,1,2,1,1,2,1,2,2,2,2.27659140000014,1.90304509999987,0,1,-5,-10,5,3155.7308272,3156.7338932,3159.0104846,3160.1173637,3161.6206077,3163.6238461,NaN,3165.1271764,NaN,3167.1314645,3169.0345096,3169.1391223,3170.1423651,3170.1429401,NaN,NaN,1,-0.555555555555556,-0.555555555555556,0.407407407407407,-0.098765432098765,-1,0.691358024691358,-0.444444444444444,-0.493827160493827
4,5,1,1,2,1,1,1,2,1,1,2.06001470000001,1.20351619999974,1,1,15,10,5,3170.3616204,3171.365049,3173.4250637,3174.530798,3176.0338633,3178.0371088,NaN,3179.5389472,NaN,3181.5424511,3182.7459673,3182.850617,3183.853972,3183.8546454,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
7,4,0,2,1,2,1,2,1,1,2,1.68847169999981,1.49898900000017,0,1,-5,-10,5,3190.6462935,3191.649581,3193.3380527,3194.4445925,3195.9488698,3197.9536523,NaN,3199.4578567,NaN,3201.46213,3202.961119,3203.0661842,3204.0694611,3204.0706126,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
5,10,1,2,1,2,1,1,2,1,1,2.06207810000024,1.08109210000021,1,1,15,10,5,3204.2877868,3205.2911615,3207.3532396,3208.4597668,3209.9625234,3211.9657733,NaN,3213.468965,NaN,3215.4731257,3216.5542178,3216.6589872,3217.6620698,3217.6623702,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,1,0.987654320987654,0.888888888888889,-0.197530864197531
2,6,1,2,1,1,2,2,1,1,2,1.82201889999988,1.23992459999999,0,1,-5,-10,5,3217.8810574,3218.8841987,3220.7062176,3221.8125688,3223.3158166,3225.3189223,NaN,3226.822188,NaN,3228.8265095,3230.0664341,3230.1715153,3231.1747365,3231.175092,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
6,9,1,1,2,2,2,2,1,1,2,2.23546009999973,1.24739640000007,0,1,-5,-10,5,3231.3943282,3232.3975635,3234.6330236,3235.7395867,3237.2427228,3239.245942,NaN,3240.7493991,NaN,3242.75355,3244.0009464,3244.106279,3245.1093947,3245.1095658,NaN,NaN,1,0.111111111111111,0.111111111111111,0.407407407407407,-0.395061728395062,-1,0.987654320987654,-1.11111111111111,0.246913580246914
10,3,0,1,2,1,1,1,2,2,2,3.47853160000022,1.20154879999973,0,1,-5,-10,5,3245.3279815,3246.3304559,3249.8089875,3250.9152304,3252.4183373,3254.421473,NaN,3255.9252119,NaN,3257.9291447,3259.1306935,3259.2357362,3260.2389131,3260.239085,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
7,1,0,1,2,1,1,1,2,2,2,2.13742410000032,1.65675620000002,0,1,-5,-10,5,3268.1656882,3269.1689217,3271.3063458,3272.4129716,3273.9161737,3275.9194753,NaN,3277.4225611,NaN,3279.4257793,3281.0825355,3281.1877999,3282.1908925,3282.1911341,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
10,4,0,2,1,1,2,2,1,2,1,2.8828395999999,1.28062180000006,1,1,15,10,5,3282.4124631,3283.4154132,3286.2982528,3287.4042674,3288.9074555,3290.9107593,NaN,3292.4139006,NaN,3294.4180716,3295.6986934,3295.8032737,3296.8064199,3296.8066552,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
7,8,1,1,2,2,2,1,2,2,2,3.59503720000021,1.67093059999979,0,1,-5,-10,5,3297.0283067,3298.0314765,3301.6265137,3302.7329726,3304.2362064,3306.2393188,NaN,3307.7427459,NaN,3309.7470228,3311.4179534,3311.5225643,3312.5256543,3312.5258285,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-1.33333333333333,0.888888888888889
2,3,1,1,2,1,1,2,1,2,1,2.75651809999999,1.04131080000025,1,1,15,10,5,3312.7453161,3313.7485409,3316.505059,3317.6114963,3319.1146527,3321.1178305,NaN,3322.6209938,NaN,3324.6251611,3325.6664719,3325.7715356,3326.7747322,3326.7749689,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
4,7,1,2,1,2,1,2,1,2,1,3.31349520000003,1.56787050000003,1,1,15,10,5,3326.9976191,3328.0007877,3331.3142829,3332.4207609,3333.924081,3335.9274105,NaN,3337.4306165,NaN,3339.4347627,3341.0026332,3341.1072404,3342.1091903,3342.1092759,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,1,0.888888888888889,0.666666666666667,-0.444444444444445
