cards_1,cards_2,isHigher,guessL,guessR,respKey_Guess,resp_Guess,reportL,reportR,respKey_Report,resp_Report,rt_Guess,rt_Report,isCorrectGuess,isCorrectReport,totalEarnings,guessEarnings,reportEarnings,tTrialStart,tGuessOnset,tGuessResp,tCard1Fixation,tCard1Onset,tCard1Offset,tCard2Fixation,tCard2Onset,tCard2Offset,tReportOnset,tReportResp,tReportFrameOnset,tReportOffset,tTrialEnd,tSummaryOnset,tSummaryOffset,isTest,p1,peP1,riskP1,peRiskP1,p2,riskP2,peP2,peRiskP2
1,9,1,2,1,1,2,2,1,1,2,2.66311496746494,1.01333847278147,0,1,-5,-10,5,131693.977657737,131694.994434534,131697.657549501,131698.794035563,131700.310533388,131702.327069559,NaN,131703.843494113,NaN,131705.859806479,131706.873144952,131706.976269293,131707.993015869,131707.993269324,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
7,8,1,1,2,2,2,1,2,2,2,1.80656805387116,1.37518613564316,0,1,-5,-10,5,131708.226402507,131709.242945805,131711.049513859,131712.175937549,131713.692458467,131715.708936477,NaN,131717.22544086,NaN,131719.241902334,131720.61708847,131720.724819766,131721.7415461,131721.741944671,NaN,NaN,1,0.333333333333333,0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-1.33333333333333,0.888888888888889
9,6,0,1,2,1,1,2,1,1,2,1.18641901994124,0.939919709722744,0,1,-5,-10,5,131721.958312176,131722.974857186,131724.161276205,131725.291228026,131726.807766906,131728.824286826,NaN,131730.340717367,NaN,131732.357123816,131733.297043526,131733.406816434,131734.423560444,131734.423956735,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
2,7,1,2,1,1,2,2,1,1,2,1.16879490169231,0.85047083083191,0,1,-5,-10,5,131734.640262943,131735.656828195,131736.825623096,131737.956630078,131739.47290923,131741.489479613,NaN,131743.006039305,NaN,131745.022455733,131745.872926564,131745.988833145,131747.005573164,131747.005964608,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
9,4,0,1,2,2,2,2,1,2,1,0.914770623028744,0.89434481257922,1,1,15,10,5,131747.222303318,131748.238832076,131749.153602699,131750.288477082,131751.805131428,131753.821604021,NaN,131755.338087876,NaN,131757.354530818,131758.248875631,131758.354192403,131759.371001416,131759.371442753,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
7,6,0,2,1,2,1,2,1,1,2,1.20377400235157,0.8764099337277,0,1,-5,-10,5,131764.837088738,131765.853673661,131767.057447663,131768.186748882,131769.703238439,131771.719696207,NaN,131773.236159535,NaN,131775.252665485,131776.129075419,131776.235666024,131777.252469905,131777.252870188,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
2,9,1,1,2,1,1,1,2,1,1,0.843128612439614,1.0187382948061,1,1,15,10,5,131777.469160715,131778.485657542,131779.328786155,131780.452067171,131781.968705836,131783.985036449,NaN,131785.50159443,NaN,131787.518044785,131788.53678308,131788.65069053,131789.667835393,131789.668210586,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
10,6,0,1,2,1,1,1,2,2,2,1.6997334016196,1.66511352884118,0,1,-5,-10,5,131789.884409026,131790.901049259,131792.600782661,131793.734092692,131795.250568849,131797.266966745,NaN,131798.783575475,NaN,131800.799970235,131802.465083764,131802.582879428,131803.599558435,131803.599779959,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
9,1,0,1,2,2,2,1,2,1,1,0.687764556350885,1.08543293943512,1,1,15,10,5,131803.816389515,131804.832884631,131805.520649187,131806.649385335,131808.165870901,131810.18238683,NaN,131811.698713023,NaN,131813.7153065,131814.800739439,131814.914946531,131815.931636371,131815.931880418,NaN,NaN,1,0.777777777777778,0.777777777777778,0.407407407407407,0.197530864197531,1,0.395061728395062,0.222222222222222,-0.345679012345679
3,4,1,1,2,1,1,1,2,1,1,1.26002309890464,1.35463972721482,1,1,15,10,5,131816.148399312,131817.164969695,131818.424992794,131819.548023776,131821.064473134,131823.081022134,NaN,131824.597482611,NaN,131826.613901605,131827.968541332,131828.080225276,131829.097019749,131829.097390951,NaN,NaN,1,0.555555555555556,0.555555555555556,0.407407407407407,-0.0987654320987654,1,0.691358024691358,0.444444444444444,-0.493827160493827
4,5,1,1,2,2,2,2,1,1,2,0.924336633004714,0.976213413290679,0,1,-5,-10,5,131831.780094386,131832.796631697,131833.72096833,131834.846407565,131836.362910521,131838.379446122,NaN,131839.895985857,NaN,131841.912330154,131842.888543568,131842.995322625,131844.012166135,131844.012576682,NaN,NaN,1,-0.333333333333333,-0.333333333333333,0.407407407407407,-0.296296296296296,-1,0.888888888888889,-0.666666666666667,-0.444444444444444
9,3,0,1,2,1,1,1,2,2,2,0.987146769970423,1.24473253631731,0,1,-5,-10,5,131844.228807338,131845.245265961,131846.232412731,131847.361839965,131848.878343777,131850.894732265,NaN,131852.411178487,NaN,131854.427711237,131855.672443773,131855.777342586,131856.794069205,131856.794459224,NaN,NaN,1,-0.777777777777778,-0.777777777777778,0.407407407407407,0.197530864197531,-1,0.395061728395062,-0.222222222222222,-0.345679012345679
10,4,0,1,2,2,2,1,2,1,1,0.725555898010498,1.43351903892471,1,1,15,10,5,131857.010831575,131858.027245723,131858.752801621,131859.877125824,131861.393581168,131863.410081987,NaN,131864.926574109,NaN,131866.943058677,131868.376577716,131868.492666477,131869.509468078,131869.509846692,NaN,NaN,1,1,1,0.407407407407407,0.592592592592593,1,0,0,0
1,5,1,1,2,2,2,1,2,2,2,1.69033588661114,0.65530318688252,0,1,-5,-10,5,131869.72610985,131870.742637468,131872.432973355,131873.559053497,131875.075454673,131877.091866539,NaN,131878.608441627,NaN,131880.624979508,131881.280282695,131881.39131119,131882.408127331,131882.408514784,NaN,NaN,1,-1,-1,0.407407407407407,0.592592592592593,-1,0,0,0
